executionId,firstFailedStep,status
phase,"codeQuality securityTest",CANCELLED
8157337,build,FAILED
8147842,build,FAILED
8120010,loadTest,CANCELLED
8093651,build,FAILED
8091494,deploy,ERROR
8091274,build,FAILED
8091269,deploy,ERROR
8090432,deploy,ERROR
8085254,build,FAILED
8082616,build,FAILED
8082506,build,FAILED
8082496,build,FAILED
8082042,build,FAILED
8081665,build,FAILED
8075768,build,FAILED
8061810,deploy,ERROR
8061050,build,FAILED
8056844,securityTest,ERROR
8054811,securityTest,ERROR
8021266,securityTest,ERROR
8021151,build,FAILED
8020893,build,FAILED
8011017,securityTest,ERROR
8010282,deploy,FAILED
8009880,deploy,FAILED
7956161,deploy,ERROR
7955994,build,CANCELLED
7949837,build,FAILED
7949769,build,FAILED
7949471,securityTest,ERROR
7946637,build,FAILED
